Entity,Schizophrenia,Bipolar Disorder,Eating Disorders,Anxiety Disorders,Drug Use Disorders,Depression,Alcohol Use Disorders
Afghanistan,0.1658055,0.7070805,0.10361899999999996,4.8742995,2.540350166666667,4.1346886666666665,0.6620991666666667
Albania,0.20048149999999998,0.7040408333333333,0.1699548333333333,3.3884448333333332,0.5115945000000001,2.204724833333333,1.8472381666666668
Algeria,0.19764249999999997,0.8175753333333334,0.21068849999999997,5.056578166666667,1.7048625,3.6357391666666667,0.6654241666666667
American Samoa,0.24905049999999995,0.46843666666666667,0.17926450000000002,3.3161615,0.7690946666666667,2.9376789999999997,1.1409155
Andorra,0.26374949999999997,0.9637861666666666,0.6483361666666667,5.310556,0.9046428333333334,3.7276903333333333,1.2501891666666667
Angola,0.1720328333333333,0.6235941666666667,0.16817749999999998,3.2904363333333335,0.5120218333333333,4.157854166666667,1.3835366666666669
Antigua and Barbuda,0.20637783333333334,0.9254161666666666,0.35078633333333337,4.612642666666667,0.7865788333333333,2.5442051666666665,2.1392
Argentina,0.1979196666666667,0.7724016666666667,0.39617183333333333,6.277416666666666,0.9851215,3.6563483333333333,1.8244281666666666
Armenia,0.19632033333333335,0.7166593333333333,0.16399266666666665,2.5898035,0.49397833333333335,2.7374751666666666,1.9810288333333332
Australia,0.36433266666666664,1.1455728333333333,0.9411458333333332,6.5990158333333335,2.1564346666666667,4.71023,1.5089896666666667
Austria,0.2565783333333333,0.939828,0.6738903333333334,5.346047666666667,0.9103038333333333,3.267869166666667,1.8892216666666666
Azerbaijan,0.19863549999999996,0.6887763333333333,0.1995565,2.578389,0.47972,2.569418,2.3162793333333336
Bahamas,0.20436516666666668,0.8893533333333333,0.364881,4.655414833333333,0.8103836666666666,2.6148598333333335,2.098286
Bahrain,0.20684666666666662,0.8361816666666666,0.268443,4.654264666666667,1.7132688333333332,3.9040345000000003,0.7330605
Bangladesh,0.25184633333333334,0.5828496666666667,0.13177416666666666,4.2718316666666665,0.5071816666666666,4.1672658333333334,1.4543016666666668
Barbados,0.2299885,0.9197510000000001,0.3232953333333333,4.664118833333333,0.8430365000000001,2.7548125,1.5880738333333333
Belarus,0.19676349999999998,0.6992308333333334,0.20524049999999996,2.946747166666667,0.7840986666666666,4.044772,5.416025166666667
Belgium,0.2576555,0.9462543333333334,0.596493,5.208453333333333,0.8197103333333334,4.1093465,1.4555853333333333
Belize,0.19467133333333334,0.8807093333333333,0.25661683333333335,4.5606385000000005,0.8320086666666667,2.8378593333333337,1.769868166666667
Benin,0.16994266666666666,0.6395543333333333,0.11822233333333333,2.9016633333333335,0.4988741666666667,3.6263065,0.989709
Bermuda,0.22168083333333333,0.9747888333333333,0.4917019999999999,4.6922250000000005,0.8578866666666668,2.8335553333333334,1.5180131666666667
